event_id,location,date,elevation_m,avg_slope_deg,distance_to_stream_m,drainage_capacity_index,rainfall_1h_mm,rainfall_24h_mm,soil_moisture_pct,pore_water_pressure_kpa,vibration_index,incident_type,hazard_occurred
EV-2021-02-CHAMOLI-RAINI,Raini / Rishiganga Gorge,2021-02-07,2050.0,44.5,35.0,0.45,45.0,110.0,78.0,19.5,0.68,Rock-Ice Avalanche & Flash Debris Flood,1
EV-2021-02-TAPOVAN,Tapovan Dhauliganga,2021-02-07,1820.0,38.0,45.0,0.52,38.0,95.0,74.0,16.2,0.55,Downstream Flash Flood Inundation,1
EV-2023-08-MANDI-KULLU,Beas / Mandi Valley,2023-08-14,1250.0,36.0,40.0,0.5,68.0,185.0,89.0,24.0,0.45,Cloudburst & Slope Failure,1
EV-2023-07-THARALI,Tharali Pindar Valley,2023-07-21,1280.0,31.0,55.0,0.58,52.0,130.0,82.0,21.0,0.38,Flash Flood & Debris Torrent,1
EV-2023-01-JOSHIMATH-SUBSIDENCE,Joshimath Sunil / Singhdhar,2023-01-05,2100.0,39.0,190.0,0.52,12.0,45.0,65.0,18.0,0.32,Pore Pressure & Hydrostatic Slope Creep,1
EV-SYN-POS-000,Himalayan Catchment Node 1,2022-07-15,2810.4,37.0,143.6,0.53,46.7,179.6,92.5,27.6,0.675,Flash Flood / Landslide Event,1
EV-SYN-POS-001,Himalayan Catchment Node 2,2022-07-15,3031.4,28.5,146.1,0.41,48.6,208.2,83.6,23.1,0.425,Flash Flood / Landslide Event,1
EV-SYN-POS-002,Himalayan Catchment Node 3,2022-07-15,1842.7,42.7,38.1,0.46,69.2,364.8,83.4,24.8,0.278,Flash Flood / Landslide Event,1
EV-SYN-POS-003,Himalayan Catchment Node 4,2022-07-15,1343.1,42.6,42.2,0.63,107.4,550.0,72.5,22.4,0.514,Flash Flood / Landslide Event,1
EV-SYN-POS-004,Himalayan Catchment Node 5,2022-07-15,1275.7,30.9,84.4,0.62,54.4,291.1,83.5,24.3,0.361,Flash Flood / Landslide Event,1
EV-SYN-POS-005,Himalayan Catchment Node 6,2022-07-15,3266.9,51.3,120.8,0.62,79.8,430.7,75.1,17.0,0.445,Flash Flood / Landslide Event,1
EV-SYN-POS-006,Himalayan Catchment Node 7,2022-07-15,3023.2,37.3,55.3,0.46,56.1,267.5,90.9,20.9,0.842,Flash Flood / Landslide Event,1
EV-SYN-POS-007,Himalayan Catchment Node 8,2022-07-15,1212.1,46.5,45.8,0.59,88.0,482.1,71.9,19.2,0.32,Flash Flood / Landslide Event,1
EV-SYN-POS-008,Himalayan Catchment Node 9,2022-07-15,1928.0,48.7,101.0,0.37,58.3,291.6,86.6,29.0,0.533,Flash Flood / Landslide Event,1
